[20/Jul/2019:07:55:55 +0800] http-nio-8888-exec-1 | HTTP/1.1 GET 0:0:0:0:0:0:0:1 http-nio-8888-exec-1 |1591 localhost http-nio-8888-exec-1 |8888 total time |30196 | Status |500
[20/Jul/2019:08:01:06 +0800] http-nio-8888-exec-1 | HTTP/1.1 GET |0:0:0:0:0:0:0:1 1624 |localhost http-nio-8888-exec-1 8888 |total time |30279 | Status |500
[20/Jul/2019:09:22:54 +0800] http-nio-8888-exec-2 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:2827 |localhost:8888 |total time |135 |Status |400
[20/Jul/2019:09:22:57 +0800] http-nio-8888-exec-4 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:2829 |localhost:8888 |total time |8 |Status |400
[20/Jul/2019:09:24:13 +0800] http-nio-8888-exec-6 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:2838 |localhost:8888 |total time |20 |Status |400
[20/Jul/2019:09:24:34 +0800] http-nio-8888-exec-8 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:2840 |localhost:8888 |total time |71 |Status |200
[20/Jul/2019:09:24:45 +0800] http-nio-8888-exec-9 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:2840 |localhost:8888 |total time |8 |Status |405
[20/Jul/2019:09:24:53 +0800] http-nio-8888-exec-10 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:2840 |localhost:8888 |total time |8 |Status |415
[20/Jul/2019:09:25:03 +0800] http-nio-8888-exec-1 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:2840 |localhost:8888 |total time |57 |Status |201
[20/Jul/2019:09:25:17 +0800] http-nio-8888-exec-2 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:2840 |localhost:8888 |total time |6 |Status |201
[20/Jul/2019:09:26:50 +0800] http-nio-8888-exec-5 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:2853 |localhost:8888 |total time |36 |Status |201
